sample_id,depth_m,porosity_frac,permeability_mD,lithology
S-001,2499.0,0.1952,122.62,Sandstone
S-002,2502.7,0.128,4.38,Shale
S-003,2505.3,0.2175,925.42,Shale
S-004,2509.0,0.227,1894.71,Sandstone
S-005,2511.0,0.0824,0.48,Sandstone
S-006,2513.1,0.1149,3.24,Shale
S-007,2516.7,0.1864,125.67,Sandstone
S-008,2516.6,0.1642,33.45,Limestone
S-009,2519.7,0.1792,134.29,Sandstone
S-010,2522.0,0.1373,7.95,Sandstone
S-011,2525.0,0.224,754.46,Limestone
S-012,2526.6,0.2189,596.17,Sandstone
S-013,2531.1,0.1833,83.72,Sandstone
S-014,2532.8,0.2364,3129.08,Shale
S-015,2534.1,0.2034,406.56,Limestone
S-016,2537.1,0.137,11.11,Sandstone
S-017,2541.0,0.1984,243.62,Sandstone
S-018,2544.1,0.1321,6.74,Shale
S-019,2547.8,0.2239,1609.68,Limestone
S-020,2551.2,0.1775,76.53,Sandstone
S-021,2551.3,0.1708,70.51,Sandstone
S-022,2552.4,0.146,10.81,Sandstone
S-023,2553.8,0.2411,2918.15,Sandstone
S-024,2558.7,0.1723,55.02,Sandstone
S-025,2560.2,0.1586,18.07,Shale
S-026,2563.1,0.1624,44.1,Sandstone
S-027,2565.5,0.2066,383.57,Sandstone
S-028,2568.5,0.1983,287.72,Shale
S-029,2572.3,0.2006,397.59,Shale
S-030,2573.9,0.2015,413.14,Sandstone
S-031,2576.1,0.2871,5000.0,Limestone
S-032,2577.8,0.1597,29.85,Shale
S-033,2579.7,0.1544,19.33,Shale
S-034,2583.4,0.1393,9.31,Sandstone
S-035,2586.4,0.2108,299.82,Sandstone
S-036,2590.8,0.2364,1444.86,Limestone
S-037,2591.7,0.1743,42.44,Sandstone
S-038,2595.1,0.138,5.98,Sandstone
S-039,2596.1,0.1388,10.94,Sandstone
S-040,2598.0,0.2125,452.84,Shale
S-041,2600.7,0.2172,730.09,Limestone
S-042,2603.5,0.2072,802.86,Sandstone
S-043,2608.9,0.1467,12.77,Limestone
S-044,2608.5,0.1916,262.01,Sandstone
S-045,2612.7,0.1858,96.31,Shale
S-046,2613.5,0.1909,172.85,Shale
S-047,2617.9,0.2236,839.94,Sandstone
S-048,2619.9,0.1912,166.19,Sandstone
S-049,2621.9,0.2139,987.68,Sandstone
S-050,2624.5,0.1834,60.87,Limestone
S-051,2626.5,0.1945,273.44,Shale
S-052,2630.1,0.2116,676.72,Limestone
S-053,2631.7,0.1071,1.19,Limestone
S-054,2633.5,0.164,22.35,Sandstone
S-055,2636.0,0.1565,26.58,Shale
S-056,2640.0,0.1481,12.87,Sandstone
S-057,2644.0,0.1662,49.72,Sandstone
S-058,2645.1,0.2547,5000.0,Limestone
S-059,2647.3,0.1367,15.7,Shale
S-060,2650.3,0.2284,1474.92,Sandstone
